Partlist exported from F:/Projekty/Finished_to_be_published/Plasma_speaker/Github/Plasma speaker.sch at 29.07.2018 18:45

Part  Value            Device                  Package                 Description                                                     
B1    <6A              RECTIFIER-SKB32         SKB32                   Rectifier                                                       
C1    4700u/35         CPOL-EUE7.5-18          E7,5-18                 POLARIZED CAPACITOR, European symbol                            
C2    4700u/35         CPOL-EUE7.5-18          E7,5-18                 POLARIZED CAPACITOR, European symbol                            
C3    100n             C-EU025-025X050         C025-025X050            CAPACITOR, European symbol                                      
C4    100u/16V         CPOL-EUE2.5-5           E2,5-5                  POLARIZED CAPACITOR, European symbol                            
C5    100n             C-EU025-025X050         C025-025X050            CAPACITOR, European symbol                                      
C6    100n             C-EU025-025X050         C025-025X050            CAPACITOR, European symbol                                      
C7    100u/16V         CPOL-EUE2.5-5           E2,5-5                  POLARIZED CAPACITOR, European symbol                            
C8    47n/63V          C-EU050-025X075         C050-025X075            CAPACITOR, European symbol                                      
C9    100n/63V         C-EU050-025X075         C050-025X075            CAPACITOR, European symbol                                      
C10   100n/63V         C-EU050-025X075         C050-025X075            CAPACITOR, European symbol                                      
C11   4,7u/100V        C-EU275-093X316         C275-093X316            CAPACITOR, European symbol                                      
C12   4,7u/100V        C-EU275-093X316         C275-093X316            CAPACITOR, European symbol                                      
C13   4,7u/100V        C-EU275-093X316         C275-093X316            CAPACITOR, European symbol                                      
C14   470n/63V         C-EU050-050X075         C050-050X075            CAPACITOR, European symbol                                      
C15   100n             C-EU025-025X050         C025-025X050            CAPACITOR, European symbol                                      
C16   100u/16V         CPOL-EUE2.5-5           E2,5-5                  POLARIZED CAPACITOR, European symbol                            
C17   470n/63V         C-EU050-050X075         C050-050X075            CAPACITOR, European symbol                                      
CON1  ARC/2            AK300/2                 AK300/2                 CONNECTOR                                                       
CON2  ARC/2            AK300/2                 AK300/2                 CONNECTOR                                                       
CON3  ARC/2            AK300/2                 AK300/2                 CONNECTOR                                                       
CON4  ARC/2            AK300/2                 AK300/2                 CONNECTOR                                                       
D1    1N4148           1N4148DO35-7            DO35-7                  DIODE                                                           
D2    MUR860           BYT08P                  TO220ACS                DIODE                                                           
D3    MUR420           BY203                   SGA-10                  DIODE                                                           
D4    1N4007           1N4004                  DO41-10                 DIODE                                                           
D5    1N4148           1N4148DO35-7            DO35-7                  DIODE                                                           
D6    1N4148           1N4148DO35-7            DO35-7                  DIODE                                                           
F1    <7A              SHK20L                  SHK20L                  FUSE HOLDER 5 x 20 mm, SH contact, SHH1 Schukat, E1073 Buerklin 
IC1   7812             7812TV                  TO220V                  Positive VOLTAGE REGULATOR                                      
IC2   TL494            TL494CN                 DIL16                   SWITCHMODE Pulse Width Modulation Control Circuit               
IC3   TL081P           TL081P                  DIL08                   OP AMP                                                          
IC4   LM3914N          LM3914N                 DIL18                   LED DRIVER                                                      
J1    GOLDPIN/2/F      F-1X02-SIP-100-40Y      SIP-100-02-40Y          FEMALE HEADER                                                   
J2    GOLDPIN/2/F      F-1X02-SIP-100-40Y      SIP-100-02-40Y          FEMALE HEADER                                                   
J3    GOLDPIN/2/M/90   F-1X02-KK-4455-A02      KK-4455-A02             FEMALE HEADER                                                   
J4    GOLDPIN/2/M/90   F-1X02-KK-4455-A02      KK-4455-A02             FEMALE HEADER                                                   
J5    GOLPIN/2         J-02-SIP-100-40Y        SIP-100-02-40Y          HEADER JACK PINS                                                
LED1  YELLOW           LED5MM                  LED5MM                  LED                                                             
LED2  GREEN            LED5MM                  LED5MM                  LED                                                             
